text,label
Attend John's birthday party on Saturday at 7 PM.,Event
Schedule a meeting with the team for Monday morning.,Event
Conference presentation on Friday at 10 AM.,Event
Join the annual charity walkathon this Saturday morning.,Event
Schedule a team-building activity for Monday afternoon.,Event
Attend the company town hall meeting on Thursday at 10 AM.,Event
Attend the product launch event on Wednesday evening.,Event
Schedule a dentist appointment for next Tuesday morning.,Event
Attend the workshop on workplace diversity next Tuesday.,Event
Attend the job fair at the convention center this Friday.,Event
Schedule a doctor's appointment for next month.,Event
Attend the software development conference next month.,Event
Attend the community cleanup event on Saturday morning.,Event
Schedule a haircut appointment for next Thursday.,Event
Attend the annual shareholders' meeting next Wednesday.,Event
Schedule a dentist appointment for next week.,Event
Attend the professional development workshop next Tuesday.,Event
Attend the concert in the park next Sunday evening.,Event
Schedule a doctor's appointment for next month.,Event
Attend the training session on new software next week.,Event
Attend the webinar on time management next Wednesday.,Event
Schedule a haircut appointment for next Tuesday.,Event
Attend the company retreat next month.,Event
Attend the charity fundraiser on Saturday evening.,Event
Schedule a haircut appointment for next Tuesday.,Event
Attend the company retreat next month.,Event
Attend the charity fundraiser on Saturday evening.,Event
Schedule a haircut appointment for next Tuesday.,Event
Attend the company retreat next month.,Event
Attend the charity fundraiser on Saturday evening.,Event
Schedule a haircut appointment for next Tuesday.,Event
Attend the company retreat next month.,Event
Hiking trip at Yosemite next Saturday.,Event
Wine tasting event on Friday at 6 PM.,Event
City marathon this Sunday morning.,Event
Pottery workshop next Saturday at 10 AM.,Event
Cooking class at the community center on Monday.,Event
Art exhibition opening Thursday evening.,Event
Beach cleanup initiative Saturday morning.,Event
Pottery workshop next Wednesday at 2 PM.,Event
Live music performance at the cafe on Friday.,Event
Volunteer at the animal shelter Saturday afternoon.,Event
Meditation session at the park next Sunday morning.,Event
Dance competition at the community center Saturday.,Event
Book reading session at the library Thursday.,Event
Tree planting event Saturday morning.,Event
Bird-watching tour at the nature reserve Sunday.,Event
Film screening event at the cultural center Friday.,Event
Blood donation drive next Saturday.,Event
Pottery-making workshop next Monday at 1 PM.,Event
Yoga retreat at the mountain resort next weekend.,Event
Stand-up comedy show at the comedy club Saturday night.,Event
Community garden project next Saturday.,Event
Pottery painting class next Tuesday at 3 PM.,Event
Astronomy night at the observatory next Friday.,Event
Art and craft fair at the park next Sunday.,Event
Food drive at the local church next Saturday.,Event
Cooking competition at the community center Saturday.,Event
Guided nature walk at the botanical garden Sunday.,Event
Wine tasting event at the vineyard Saturday afternoon.,Event
Beach cleanup drive next Saturday morning.,Event
Photography contest at the museum Saturday.,Event
Group painting session at the art studio Sunday.,Event
Theater play at the local theater Friday evening.,Event
Charity fundraiser event Saturday evening.,Event
Pottery wheel throwing workshop next Monday.,Event
Community bike ride event next Sunday morning.,Event
Film festival screening at the cinema Friday.,Event
Homeless shelter assistance program next Saturday.,Event
Pottery glazing workshop next Monday at 2 PM.,Event
Hiking expedition at the national park next Sunday.,Event
Charity auction event at the banquet hall Saturday.,Event
Environmental cleanup drive next Saturday morning.,Event
Painting competition at the art gallery Saturday.,Event
Guided kayak tour at the lake next Sunday morning.,Event
Music festival at the stadium next Friday night.,Event
Blood donation camp at the hospital next Saturday.,Event
Origami workshop at the community center next Monday.,Event
Wildlife photography tour at the nature reserve Sunday.,Event
Stand-up comedy night at the comedy club Saturday.,Event
Community garden planting event next Saturday.,Event
Calligraphy class at the art studio next Tuesday.,Event
Guided nature hike at the state park next Sunday.,Event
Wine tasting session at the vineyard Saturday afternoon.,Event
Coastal cleanup drive next Saturday morning.,Event
Ceramic sculpture workshop next Monday at 10 AM.,Event
Group meditation session at the wellness center Sunday.,Event
